球隊,顏色
紐約洋基,#E4002B
明尼蘇達雙城,#002B5C
堪薩斯市皇家,#C09A5B
底特律老虎,#0C2C56
克里夫蘭印地安人,#E31937
芝加哥白襪,#C4CED4
舊金山巨人,#8B6F4E
波士頓紅襪,#BD3039
聖地牙哥教士,#FEC325
聖路易紅雀,#C41E3A
匹茲堡海盜,#FDB827
費城費城人,#284898
紐約大都會,#FF5910
華盛頓國民,#AB0003
密爾瓦基釀酒人,#0A2351
洛杉磯道奇,#005A9C
休士頓太空人,#002D62
邁阿密馬林魚,#FF6600
巴爾的摩金鶯,#DF4601
科羅拉多落磯,#333366
辛辛那提紅人,#C6011F
芝加哥小熊,#0E3386
亞特蘭大勇士,#13274F
亞利桑那響尾蛇,#A71930
多倫多藍鳥,#134A8E
德州遊騎兵,#003278
坦帕灣光芒,#8FBCE6
西雅圖水手,#0C2C56
奧克蘭運動家,#003831
洛杉磯安那罕天使,#BA0021
